waiwai,chapter_id,entry_id,significado,meaning,WaiWai,Wai_Wai_sem_correcao,Wai_Wai_Phonemic,comment,comment_sem_correcao,comentario,comentario_sem_correcao,Referencia
-hn-aw,12,40,antes,before,-hn-aw,-hn-aw,-hn-aw,... + -hn-aw - Lit. '(verb stem) not being-when'.,,... + -HN -AW -lit. '(verbo tronco) não sendo quando'.,,1
-înhîrî ,13,360,segundo,second,-înhîrî ,,-ɨnhɨrɨ ,...-ɨnhɨrɨ - The number '2' precedes.,,...- ɨnhɨrɨ - o número '2' precede.,,1
-înhîrî ,13,420,terceiro,third,-înhîrî ,,-ɨnhɨrɨ ,...-ɨnhɨrɨ - The number '3' precedes.,,...- ɨnhɨrɨ - o número '3' precede.,,1
-re,17,420,causa,cause,-re,,-re,"One of several suffixes used with nouns and verbs, e.g. oy-ači-re, '1st obj-sneeze-cause'.",,"Um dos vários sufixos usados ​​com substantivos e verbos, por exemplo oy-ači-re, '1st obj-sneeze-tause'.",,1
-rî + yaro,16,540,perigo,danger,-rî + yaro,,-rɨ + yaro,... + -rɨ + yaro + ... - Used with verb of dangerous action + nominalizer + yaro + copula.,,... + -rɨ + yaro + ... - usado com verbo de ação perigosa + nominizer + yaro + copula.,,1
-tîhka,14,270,Finalizar,finish,-tîhka,,-tɨhka,"... + -tɨhka - Verb precedes; e.g. wi-itɨka-∅, 'I finished making it'.",,"... + -tɨhka - verbo precede; por exemplo. wi-itɨka-∅, 'eu terminei de fazer'.",,1
a,,,"(a) seu, sua, teu, tua, você, por exemplo: 1ª segunda pessoa awo kru, sua bebida, apici, sua esposa, amoro, você, amyamro, vocês, nexamro, eles ou elas, amna, nós.",,a,,,,,,,2
A,,,"seu, sua, teu, tua, você, por exemplo: 1ª segunda pessoa awo kru, sua bebida, apici, sua esposa, amoro, você etc.",,A,,a,,,,,3
aaci,,,"maná, irmã - para chama irmã mais velha",,aaci,,,,,,,2
Aaci,,,"maná, irmã",,Aaci,,ati,,,,,3
Aaka,,,espécie de planta que dá na roça,,Aaka,,aaca,,,,,3
Aaka,,,joio grande que cresce em clareiras; esta planta tem fruta de cor roxa escura usada para isca de peixe; As folhas podem ser comidas quando cozinhadas,,Aaka,,,,,,,4
aaka-,,,espécie de planta que dá na roça,,aaka-,,,,,,,2
aaku,5,580,argamassa (2),mortar (2),aaku,,aaku,,,,,1
aaku,,,pilão,,aaku,,,,,,,2
Aaku,,,pilão,,Aaku,,a cu,,,,,3
aam,7,422,cobertor,blanket ,aam,,aam,,,,,1
aama,9,490,martelo,hammer,aama,,aama,,,,,1
